sentence1	sentence2	sem	syn	morph	lex
A plane is taking off.	An air plane is taking off.	5	0.909090909	0.982728038	0.714285714
A man is playing a large flute.	A man is playing a flute.	3.8	0.923076923	0.994120111	0.8668779
A man is spreading shreded cheese on a pizza.	A man is spreading shredded cheese on an uncooked pizza.	3.8	0.947368421	0.989455852	0.727272727
Three men are playing chess.	Two men are playing chess.	2.6	1	0.937204906	0.833333333
A man is playing the cello.	A man seated is playing the cello.	4.25	0.923076923	0.992467812	0.875
Some men are fighting.	Two men are fighting.	4.25	1	0.902109846	0.8
A man is smoking.	A man is skating.	0.5	1	0.982311636	0.8
The man is playing the piano.	The man is playing the guitar.	1.6	1	0.991541572	0.857142857
A man is playing on a guitar and singing.	A woman is playing an acoustic guitar and singing.	2.2	0.888888889	0.975431082	0.7
A person is throwing a cat on to the ceiling.	A person throws a cat on the ceiling.	5	0.777777778	0.984555786	0.71176658
The man hit the other man with a stick.	The man spanked the other man with a stick.	4.2	1	0.992538903	0.9
A woman picks up and holds a baby kangaroo.	A woman picks up and holds a baby kangaroo in her arms.	4.6	0.857142857	0.977225977	0.769230769
A man is playing a flute.	A man is playing a bamboo flute.	3.867	0.923076923	0.994566678	0.875
A person is folding a piece of paper.	Someone is folding a piece of paper.	4.667	0.933333333	0.989192899	0.77218479
A man is running on the road.	A panda dog is running on the road.	1.667	0.933333333	0.987296951	0.777777778
A dog is trying to get bacon off his back.	A dog is trying to eat the bacon on its back.	3.75	0.952380952	0.938545334	0.666666667
The polar bear is sliding on the snow.	A polar bear is sliding across the snow.	5	1	0.952509815	0.777777778
A woman is writing.	A woman is swimming.	0.5	1	0.972238903	0.8
A cat is rubbing against baby's face.	A cat is rubbing against a baby.	3.8	0.933333333	0.97129004	0.77218479
The man is riding a horse.	A man is riding on a horse.	5	0.923076923	0.976288301	0.75
A man pours oil into a pot.	A man pours wine in a pot.	3.2	0.857142857	0.943051584	0.75
A man is playing a guitar.	A girl is playing a guitar.	2.8	1	0.98942426	0.857142857
A panda is sliding down a slide.	A panda slides down a slide.	4.6	0.923076923	0.994313272	0.7430382
A woman is eating something.	A woman is eating meat.	3	1	0.981408719	0.833333333
A woman peels a potato.	A woman is peeling a potato.	5	0.909090909	0.994081135	0.714285714
The boy fell off his bike.	A boy falls off his bike.	4.8	1	0.958227087	0.714285714
The woman is playing the flute.	A woman is playing a flute.	5	1	0.93176301	0.714285714
A rabbit is running from an eagle.	A hare is running from a eagle.	4.2	1	0.988282377	0.75
The woman is frying a breaded pork chop.	A woman is cooking a breaded pork chop.	4.2	1	0.98360668	0.777777778
A girl is flying a kite.	A girl running is flying a kite.	4	0.923076923	0.992766556	0.875
A man is riding a mechanical bull.	A man rode a mechanical bull.	4	0.923076923	0.98480828	0.7430382
The man is playing the guitar.	A man is playing a guitar.	4.909	1	0.929835992	0.714285714
A woman is dancing and singing with other women.	A woman is dancing and singing in the rain.	3	1	0.957387623	0.7
A man is slicing a bun.	A man is slicing an onion.	2.4	1	0.984986754	0.714285714
A man is pouring oil into a pan.	A man is pouring oil into a skillet.	4.2	1	0.994425789	0.888888889
A lion is playing with people.	A lion is playing with two men.	3.4	0.923076923	0.967876927	0.75
A dog rides a skateboard.	A dog is riding a skateboard.	5	0.909090909	0.987851676	0.714285714
Someone is carving a statue.	A man is carving a statue.	3.75	0.909090909	0.978440997	0.714285714
A woman is slicing an onion.	A man is cutting an onion.	2.75	1	0.983476941	0.714285714
A woman peels shrimp.	A woman is peeling shrimp.	5	0.888888889	0.992235966	0.666666667
A woman is frying fish.	A woman is cooking fish.	4	1	0.991632943	0.833333333
A woman is playing an electric guitar.	A woman is playing a guitar.	3.6	0.923076923	0.98970639	0.7430382
A baby tiger is playing with a ball.	A baby is playing with a doll.	1.6	0.933333333	0.976933559	0.77218479
A person is slicing a tomato.	A person is slicing some meat.	1.75	1	0.953260969	0.714285714
A person cuts an onion.	A person is cutting an onion.	5	0.909090909	0.978140478	0.714285714
A man is playing the piano.	A woman is playing the violin.	1	1	0.985102602	0.714285714
A woman is playing the flute.	A man is playing the guitar.	1	1	0.984456129	0.714285714
A man is cutting up a potato.	A man is cutting up carrots.	2.375	0.923076923	0.986747949	0.7430382
A kid is playing guitar.	A boy is playing a guitar.	3.8	0.909090909	0.979324662	0.714285714
A boy is playing guitar.	A man is playing a guitar.	3.2	0.909090909	0.978047609	0.714285714
A man is playing guitar.	A boy is playing a guitar.	3.2	0.909090909	0.98196731	0.714285714
A little boy is playing a keyboard.	A boy is playing key board.	4.4	0.923076923	0.97121751	0.6191985
A man is playing a guitar.	A man is playing an electric guitar.	3.75	0.923076923	0.989255582	0.75
A dog licks a baby.	A dog is licking a baby.	4.75	0.909090909	0.989696229	0.714285714
A woman is slicing an onion.	A man is cutting and onion.	3.2	0.833333333	0.9526065	0.571428571
A man is playing the guitar.	A man is playing the drums.	1.556	1	0.991821237	0.857142857
A woman is slicing a pepper.	A woman is cutting a red pepper.	3.938	0.923076923	0.988108717	0.75
A man is playing the drums.	A man plays the drum.	5	0.909090909	0.979437959	0.56432115
A woman rides a horse.	A woman is riding a horse.	5	0.909090909	0.988079989	0.714285714
A man is eating a banana by a tree.	A man is eating a banana.	4	0.8	0.97918949	0.651439058
A cat is playing a key board.	A man is playing two keyboards.	1.6	0.923076923	0.936440247	0.4953588
A man chops down a tree with an axe.	A man cut a tree with an axe.	4.75	0.823529412	0.979217731	0.795412726
A kid plays with a toy phone.	A little boy plays with a toy phone.	3.5	0.933333333	0.987564097	0.777777778
A man is riding a motorcycle.	A man is riding a horse.	1.4	1	0.9891026	0.857142857
A man is riding a motorcycle.	A man is riding a horse.	1.4	1	0.9891026	0.857142857
A squirrel is spinning around in circles.	A squirrel runs around in circles.	4	0.923076923	0.982643072	0.7430382
A man and a woman are kissing.	A man and woman kiss.	5	0.833333333	0.969716307	0.597109425
A man is getting into a car.	A man is getting into a car in a garage.	3.833	0.823529412	0.982483647	0.727272727
A man is dancing.	A man is talking.	0.6	1	0.974738129	0.8
A man is playing the guitar and singing.	A man is playing the guitar.	2.917	0.857142857	0.981688728	0.751477293
A person is cutting mushrooms.	A person is cutting mushrooms with a knife.	4.2	0.769230769	0.962025207	0.666666667
A tiger cub is making a sound.	A tiger is walking around.	2	0.833333333	0.935514684	0.47768754
A person is slicing onions.	A person is peeling an onion.	2.6	0.909090909	0.975132475	0.571428571
A man is playing the piano.	A man is playing the trumpet.	1.6	1	0.992835113	0.857142857
A woman is peeling a potato.	A woman is peeling an apple.	2	1	0.985907978	0.714285714
A pankda is eating bamboo.	A panda bear is eating some bamboo.	4.2	0.833333333	0.95908027	0.625
A person is peeling an onion.	A person is peeling an eggplant.	2	1	0.989012001	0.857142857
A monkey pushes another monkey.	The monkey pushed the other monkey.	4.8	0.909090909	0.87501182	0.428571429
A squirrel runs around in circles.	A squirrel is moving in circles.	4.4	1	0.946427721	0.714285714
A man is tying his shoe.	A man ties his shoe.	5	0.909090909	0.96458614	0.705401437
A boy is singing and playing the piano.	A boy is playing the piano.	3	0.857142857	0.98110854	0.751477293
A dog is eating water melon.	A dog is eating a piece of watermelon.	4.25	0.857142857	0.960723283	0.555555556
A woman is chopping broccoli.	A woman is chopping broccoli with a knife.	4.25	0.769230769	0.969298095	0.666666667
A man is peeling a potato.	A man peeled a potatoe.	3.8	0.909090909	0.970400703	0.56432115
A woman is playing a guitar.	A man plays a guitar.	2.4	0.909090909	0.979017126	0.56432115
A woman is slicing tomato.	A man is slicing onion.	1.6	1	0.972346165	0.666666667
A man swims underwater.	A woman is swimming underwater.	2	0.888888889	0.968402304	0.5
A man and woman are talking.	A man and woman is eating.	1.6	1	0.978911495	0.714285714
A small dog is chasing a yoga ball.	A dog is chasing a ball.	4	0.857142857	0.988038258	0.751477293
The men are playing cricket.	The men are playing basketball.	2.2	1	0.984996449	0.833333333
A man rides off on a motorcycle.	A man is riding on a motorcycle.	4.4	0.714285714	0.96682381	0.75
A man is playing a guitar.	A man is singing and playing a guitar.	3.6	0.857142857	0.980679429	0.777777778
The man talked on the telephone.	The man is talking on the phone.	3.6	0.923076923	0.96960203	0.625
A man is fishing.	A man is exercising.	0.5	1	0.979738134	0.8
A man is levitating.	A man is talking.	0.8	1	0.96749921	0.8
Two boys are driving.	Two bays are dancing.	0.6	1	0.940222054	0.6
A man is riding on a horse.	A girl is riding a horse.	2.6	0.923076923	0.981028291	0.7430382
A man is riding a bicycle.	A monkey is riding a bike.	2	1	0.980130261	0.714285714
A man is slicing potatoes.	A woman is peeling potato.	2.2	1	0.975157585	0.5
A woman is peeling a potato.	A man is slicing potato.	2.4	0.909090909	0.975772622	0.56432115
A man is playing a guitar.	Someoen is playing guitar.	3.6	0.8	0.933522406	0.536256037
A woman is slicing a leek.	A woman is slicing ginger.	2.2	0.909090909	0.972735544	0.705401437
The man cut a paper plate.	A man is cutting a paper plate.	4.8	0.923076923	0.96408442	0.625
The man is playing the guitar.	A man is playing the flute.	1.643	1	0.974908294	0.714285714
A man is playing the piano.	The man is playing the violin.	1.75	1	0.970744687	0.714285714
A woman is slicing up some meat.	A woman is breading some meat.	2.25	0.923076923	0.970131439	0.7430382
A man is playing on his keyboard.	A man is playing a keyboard piano.	4	1	0.963441275	0.75
The lady chopped up the green onions.	The lady cut up a green onion.	4.8	1	0.963801216	0.625
Someone is sitring noodles in water.	A woman is boiling noodles in water.	3.2	0.923076923	0.97566351	0.625
